OCT1280,OCT1530,OCT1790,OCT2040,OCT2300,OCT2550,OCT2800,OCT3060,OCT3300,OCT3570,OCT3820,OCT12830,OCT15330,OCT17930,OCT20430,OCT23030,OCT25530,OCT28030,OCT30630,OCT33030,OCT35730,OCT38230,OCT12860,OCT15360,OCT17960,OCT20460,OCT23060,OCT25560,OCT28060,OCT30660,OCT33060,OCT35760,OCT38260,OCT12890,OCT15390,OCT17990,OCT20490,OCT23090,OCT25590,OCT28090,OCT30690,OCT33090,OCT35790,OCT38290,OCT128120,OCT153120,OCT179120,OCT204120,OCT230120,OCT255120,OCT280120,OCT306120,OCT330120,OCT357120,OCT382120,OCT128150,OCT153150,OCT179150,OCT204150,OCT230150,OCT255150,OCT280150,OCT306150,OCT330150,OCT357150,OCT382150
302,300,246,242,246,205,224,175,189,205,189,298,259,234,271,216,199,259,283,269,255,271,281,326,320,281,240,203,236,244,234,246,246,287,281,224,212,207,175,138,248,248,236,263,289,289,210,173,195,152,162,214,279,322,333,312,328,257,167,193,203,234,312,328,326,320
287,294,294,269,193,99,181,236,265,267,261,277,281,281,234,191,101,187,255,259,277,279,261,281,291,287,158,105,244,263,285,265,263,259,281,273,246,203,105,167,236,261,277,279,250,267,273,269,140,99,185,250,253,285,283,251,259,267,177,113,107,199,216,279,289,287
246,251,236,236,246,242,234,255,275,267,259,261,273,257,259,255,236,234,257,269,271,267,289,302,248,304,261,238,242,269,259,263,246,250,236,244,244,250,248,234,248,267,257,244,257,279,273,277,271,253,236,244,261,285,273,265,269,275,273,246,257,259,257,238,261,257
259,265,269,269,201,132,234,271,285,277,267,251,251,250,269,248,173,148,240,269,281,281,251,267,285,279,228,136,201,267,271,275,267,250,269,275,273,218,136,197,267,275,281,275,259,269,273,271,197,134,201,269,267,269,263,269,275,279,281,242,146,166,263,267,265,259
263,265,234,222,193,134,167,208,257,253,234,257,265,259,207,128,103,138,224,251,250,246,250,265,265,244,175,111,132,201,250,255,250,234,246,269,251,177,97,148,248,271,257,244,214,220,228,212,183,152,205,248,255,267,255,238,242,251,248,214,158,216,236,265,259,253
296,291,281,259,191,173,203,232,240,251,246,298,292,246,228,166,162,214,271,279,279,263,296,289,291,263,185,179,242,263,294,281,267,283,289,279,251,181,193,251,291,302,294,285,267,279,279,267,214,173,228,269,289,287,287,251,271,281,271,232,171,177,242,283,292,296
251,255,224,162,132,185,208,248,287,281,273,269,275,253,212,144,156,203,253,289,289,272,261,275,259,232,169,126,222,261,275,283,269,246,277,279,251,216,187,218,279,292,279,263,261,281,283,251,183,167,187,250,263,255,251,273,281,291,259,185,152,150,244,250,263,261
242,220,167,126,156,197,226,244,251,250,246,261,242,228,207,199,207,222,234,234,234,236,257,267,244,210,148,117,128,191,226,248,236,230,242,251,246,228,195,152,134,169,214,236,242,246,251,242,222,164,125,119,181,236,228,255,257,263,257,234,203,132,130,181,238,273
250,246,240,214,156,156,230,273,289,291,289,261,267,257,234,197,140,179,257,279,289,283,244,271,285,265,201,154,191,263,279,279,275,251,275,277,273,220,164,187,253,269,277,283,269,283,281,263,230,142,158,246,265,265,253,285,289,279,257,197,142,156,216,240,253,248
253,240,265,240,226,283,322,285,298,292,287,257,275,259,263,289,236,304,281,285,298,285,257,296,337,347,341,335,314,304,396,292,281,351,365,369,361,371,330,318,314,296,285,259,347,369,367,376,357,244,298,285,279,263,244,296,298,306,349,341,205,281,269,267,273,263
269,281,275,240,199,169,199,236,251,251,238,318,304,267,242,191,167,193,236,253,255,246,255,257,248,216,173,167,216,257,263,269,253,224,242,253,234,179,162,216,255,287,294,285,240,248,244,240,183,167,203,257,375,302,279,265,275,248,216,183,187,232,257,277,277,267
261,265,273,255,275,306,308,314,298,291,289,257,275,296,296,316,316,322,324,306,306,277,251,300,318,348,375,298,312,310,310,320,310,269,296,296,294,294,312,308,310,308,285,263,257,279,287,383,285,304,302,294,277,271,253,294,300,283,298,296,306,306,300,273,267,267
250,253,257,271,238,189,207,251,259,275,273,240,265,273,265,210,171,205,259,287,287,277,250,273,281,279,226,228,253,267,281,277,273,265,281,281,285,179,181,246,271,277,265,236,269,279,283,259,179,169,242,277,283,269,253,271,281,275,277,207,158,216,244,257,253,242
