rat,dose,testtime,lacrimation,palp_closure,salivation,urination,defecation,pupil,approach,touch,click,tail_pinch,removal,handling,clonic_mvts,tonic_mvts,arousal,vocalizations,hc_posture,rears,motor_activity,gait,mobility,righting,foot_splay,forelimb_grip,hindlimb_grip,piloerection,weight,temperature
1,150,0,1,1,1,0,0,1,2,2,3,4,4,3,0,0,4,0,2,11,0,1,1,1,21.5,0.805,0.32,0,151.5,37.6
1,150,4,1,1,1,0,0,1,2,2,3,2,3,2,2,0,3,0,3,2,20,2,1,1,16.5,0.8,0.295,0,150.4,36.8
1,150,24,2,1,1,1,0,2,1,2,3,4,1,2,2,0,2,0,6,0,34,2,1,1,20.5,0.43,0.2,1,140.7,37.6
2,1500,0,1,1,1,0,0,1,2,4,4,4,4,2,0,0,3,0,1,4,0,1,1,1,36,0.655,0.55,0,150.8,37.5
2,1500,4,1,1,1,1,1,1,4,4,3,4,4,3,2,0,3,0,2,0,92,1,1,1,34,0.84,0.355,0,147.1,37.7
2,1500,24,2,1,1,0,0,1,1,4,3,4,2,4,2,0,2,0,2,0,13,1,1,1,35,0.81,0.245,0,144.6,38.1
3,150,0,2,1,1,0,0,1,2,2,3,4,5,2,0,0,4,0,3,6,0,1,1,1,28,0.59,0.34,0,151.6,37.5
3,150,4,2,1,1,0,0,1,2,2,3,4,4,4,0,0,3,0,3,4,262,1,1,1,17,0.74,0.28,0,149.8,38
3,150,24,1,1,1,0,0,1,1,3,3,4,1,2,0,0,3,0,3,3,174,1,1,1,25.5,0.86,0.295,0,151.7,37.8
4,150,0,1,1,1,1,0,1,2,2,3,4,4,3,0,0,4,0,1,16,0,1,1,1,28,0.98,0.31,0,165.8,37.5
4,150,4,1,1,1,0,0,1,2,4,3,4,2,3,0,0,3,0,3,2,106,1,1,1,26,0.935,0.225,0,163.7,37.7
4,150,24,1,1,1,1,0,1,1,2,3,4,2,2,2,0,2,0,3,0,210,1,1,1,22,0.65,0.365,0,161.1,38
5,0,0,1,1,1,0,0,1,1,2,3,4,2,2,2,0,3,0,3,4,0,1,1,1,53.5,0.59,0.215,0,151.7,37.4
5,0,4,1,1,1,1,0,1,2,2,3,4,1,2,0,0,4,0,3,7,290,1,1,1,29,0.685,0.295,0,148.5,37.5
5,0,24,1,1,1,1,0,1,1,2,3,2,1,2,2,0,3,0,1,3,64,1,1,2,31,0.71,0.295,0,144.8,37.3
6,5000,0,1,1,1,0,0,1,2,4,3,4,4,2,0,0,3,0,3,6,0,1,1,1,33,0.76,0.34,0,153.4,37.6
6,5000,4,2,1,1,0,0,2,1,1,1,1,1,1,0,0,1,0,5,0,0,3,3,4,56.5,0,0,0,150.5,35.2
6,5000,24,2,3,2,0,0,2,1,1,1,1,1,1,0,0,1,0,4,0,46,4,4,4,43,0,0,0,143.8,34.2
7,0,0,1,1,1,0,1,1,1,2,3,4,2,2,0,0,4,0,3,5,0,1,1,1,34,0.565,0.29,0,156.7,37
