GROUP,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17
1,1,1.8,0.78,0.87,1.05,1.34,1.6,2.11,2.51,2.35,3.21,3.29,3.57,3.57,3.92,4.67,8.09,9.97
1,1,1,1.88,2.32,2.87,2.24,2.17,3.16,4.28,3.71,3.59,4.97,4.45,6.32,6.09,9.35,10,13.84
1,1,1,1.2,1.4,1.5,2.17,2.9,2.54,1.56,2.17,3.48,2.62,3.21,3.47,4.44,5.52,6.96,6.04
1,1,1.04,1.04,1.73,1.81,2.77,2.81,3.9,2.86,4.68,5.26,4.74,5.73,6.23,7.82,8.43,7.57,9.64
1,1,1.32,1.92,2.03,2.49,2.77,3.06,4.52,4.06,5.33,5.24,5.25,6.96,9.39,9.84,9.18,13.3,14.37
1,1,1.03,1.26,1.66,1.1,1.31,1.99,2.41,2.29,2.92,2.71,3.19,4.15,3.98,5.07,5.89,9.36,8.49
1,1,1.2,1.37,1.64,1.4,1.82,1.38,2.41,2.32,2.18,2.64,3.04,2.79,3.09,4.1,3.46,3.77,5.11
1,1,1.02,1.15,1.49,1.83,2.32,3.11,5.3,5.3,6.05,7.72,6.53,6.72,7.22,8.88,6.8,12.2,12.12
1,1,0.17,1.22,2.02,0.96,1.7,1.74,2.76,3.1,3.57,5.14,4.67,5.09,5.83,6.77,7.72,13.7,18.84
1,1,1.95,2.73,2.34,3.94,4.16,4.5,6.89,8.04,9.4,10.51,9.21,10.47,19.06,36.9,42.88,68.6,81.28
1,1,1.34,2.66,1.92,3.39,3.7,5.08,4.21,6.11,6.32,10,9.6,13.83,10.8,12.6,17.33,22,28.38
2,1,0.71,0.99,0.85,1.14,1.18,1.35,1.61,1.52,1.94,3.87,1.95,3.39,3.47,3.75,3.97,5.05,6.33
2,1,0.86,1.31,1.1,1.32,1.7,2.01,2.4,3.45,3.08,4.46,2.97,6.81,7.53,9.42,8.09,11.72,17
2,1,0.65,0.75,0.65,1.19,0.92,1.14,0.51,0.96,0.53,1.12,0.68,1.36,1.12,1.51,1.73,1.61,3.06
2,1,0.65,0.7,0.86,1.26,1.16,1.53,1.36,0.91,0.98,1.05,1.12,1.36,1.59,1.99,2.27,1.67,3
2,1,0.78,0.9,0.91,0.96,1.38,2.56,1.63,1.09,1.7,1.8,2.39,1.73,2.04,1.84,2.26,4.27,3.47
2,1,1.74,1.41,1.12,1.63,1.95,3.11,1.7,4.63,3.89,4.55,3.86,5.09,7.06,8.52,8.61,8.61,8.61
2,1,0.93,0.46,0.47,0.65,1.03,0.7,1.03,0.78,1.26,2.06,2.84,1.77,2.3,2.54,4.05,4.49,8.2
2,1,0.85,0.94,0.91,1.04,1.55,1.77,1.77,1.66,2.5,3,3.03,3.82,3.95,4.34,4.16,6.41,10.73
2,1,1.06,1.49,1.35,1.98,2.11,1.41,1.81,1.74,1.46,2.55,2.24,1.84,2.4,3.26,1.86,3.2,3.61
3,1,1,0.98,1.47,1.07,1.47,1.52,1.47,1.21,1.56,2.29,2.01,2.27,3.1,3.54,2.45,3.43,4.81
3,1,1,1,1,1,1,1.95,1.95,3.38,3.38,3.38,5.36,5.36,9.2,9,6.28,17.19,22.69
3,1,1.78,1.04,1.42,0.96,0.97,1.13,1.39,1.92,2.14,1.59,2.41,2.77,3.17,3.67,3.71,5.58,6.73
3,1,0.95,0.91,0.81,0.86,0.69,0.95,0.74,0.67,0.99,1.5,1.09,1.03,0.97,1.31,1.64,1.79,2.76
3,1,1.07,0.63,0.84,1.04,1,1.04,0.96,0.97,1.06,1,1.13,1.04,0.72,0.98,0.94,1.41,2.1
3,1,1.06,0.88,1.18,1.28,0.95,0.86,0.79,1.25,1.59,2.25,2.25,2.42,2.45,3.03,3.05,5.13,6.63
3,1,0.81,0.82,1.05,0.76,0.74,1.17,0.83,0.55,0.83,1.26,0.97,0.79,1.38,1.51,1.76,2.48,4.07
4,1,1.12,0.82,1.21,0.61,0.56,0.87,0.23,0.19,0.18,0.11,0.17,0.15,0.22,0.27,0.26,0.49,0.46
4,1,1.47,1.35,1.06,0.77,0.4,0.66,0.35,0.28,0.37,0.41,0.31,0.46,0.6,0.88,0.8,1.27,1.5
4,1,1.36,0.88,0.93,0.72,0.65,1.31,0.69,0.77,0.68,0.88,0.81,0.73,0.97,1.01,1.95,2.32,2.24
4,1,1.26,0.93,0.86,0.91,0.86,1.27,0.93,1.12,0.94,1.17,2.01,1.83,1.26,0.87,1.3,1.79,2.01
4,1,2.08,1.09,1.25,1.09,1.56,0.88,0.88,0.88,0.88,0.88,0.88,1.44,1.44,2.14,1.88,2.6,2.34
4,1,1.7,0.72,1.19,0.75,0.78,0.78,0.93,0.57,2.03,1.95,0.85,1.49,2.07,1.31,2.11,3.97,2.79
4,1,1.27,0.97,1.62,1.33,1.17,1.49,2.14,1.33,2.92,4.04,2,3.16,2.98,3.52,5.21,4.51,6.09
4,1,0.53,0.4,0.53,0.54,0.9,0.53,0.88,0.48,0.61,0.95,0.95,0.8,0.98,0.95,1.06,1.9,2
4,1,1.38,1.59,1.01,1,0.44,0.54,0.54,0.44,0.54,0.46,0.42,1.01,0.98,1.52,1.35,2.18,2.89
