STRATA,GROUP,D,R,U,L
1,1,1,0,0,11
1,1,0,NaN,0,1
1,1,0,NaN,1,0
1,1,0,NaN,1,0
1,1,1,0,1,19
1,1,0,NaN,1,0
1,1,0,NaN,0,1
1,1,0,NaN,0,1
1,1,0,1,0,39
1,1,0,NaN,0,1
1,1,0,1,1,25
1,1,0,NaN,0,1
1,1,1,0,0,10
1,1,1,0,1,19
1,1,1,0,1,23
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,NaN,1,0
1,2,0,NaN,1,0
1,2,1,0,1,23
1,2,0,1,1,40
1,2,0,1,1,37
1,2,0,NaN,0,1
1,2,0,1,0,8
1,2,0,NaN,0,1
1,2,0,1,1,28
1,2,1,0,0,8
1,2,0,0,,NaN
1,2,0,NaN,1,0
1,2,0,NaN,1,0
1,2,0,NaN,1,0
1,2,0,NaN,1,0
1,2,0,1,0,17
1,2,0,NaN,1,0
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,1,0,25
1,2,0,1,0,27
1,2,0,NaN,0,1
1,2,0,1,1,24
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,1,0,14
1,2,0,1,0,9
1,2,0,NaN,0,1
1,2,1,0,1,15
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,NaN,0,1
1,2,0,1,0,10
1,2,0,1,1,45
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,1,0,0,9
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,1,1,55
1,2,0,NaN,1,0
1,2,1,0,0,12
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,1,0,11
1,2,0,1,1,25
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,1,0,0,19
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,NaN,0,1
1,2,0,NaN,0,1
1,2,0,NaN,1,0
1,2,0,NaN,1,0
2,1,0,1,0,10
2,1,0,NaN,1,0
2,1,0,1,1,45
2,1,1,0,0,12
2,1,1,0,0,8
2,1,0,1,0,13
2,1,1,0,1,52
2,1,1,0,1,74
2,1,0,NaN,0,1
2,1,0,1,1,22
2,1,0,NaN,0,1
2,1,0,1,0,9
2,1,0,NaN,1,0
2,1,0,NaN,0,1
2,1,0,NaN,1,0
2,1,0,NaN,0,1
2,1,0,NaN,0,1
2,1,0,1,1,20
2,1,0,NaN,1,0
2,1,0,NaN,0,1
2,1,0,1,0,10
2,1,0,NaN,1,0
2,1,0,1,0,31
2,1,1,0,0,15
2,1,1,0,0,7
2,1,0,NaN,1,0
2,1,1,0,1,48
2,1,0,NaN,0,1
2,1,0,1,0,6
2,1,0,NaN,0,1
2,1,1,0,0,6
2,1,0,NaN,0,1
2,1,0,NaN,0,1
2,1,1,0,1,91
2,1,0,NaN,0,1
2,2,0,NaN,0,1
2,2,0,NaN,0,1
2,2,0,1,0,25
2,2,0,NaN,1,0
2,2,0,NaN,1,0
2,2,0,1,0,3
2,2,0,1,1,23
2,2,1,1,0,31
2,2,0,NaN,0,1
2,2,0,NaN,1,0
2,2,0,NaN,0,1
2,2,0,NaN,0,1
2,2,0,1,0,11
2,2,0,NaN,0,1
2,2,0,NaN,0,1
2,2,0,1,1,55
2,2,0,NaN,0,1
2,2,0,NaN,0,1
2,2,1,0,0,10
2,2,0,1,0,42
2,2,0,NaN,0,1
2,2,0,1,0,19
2,2,0,1,0,22
2,2,0,NaN,0,1
2,2,1,1,0,17
2,2,0,NaN,0,1
2,2,0,NaN,0,1
2,2,0,NaN,0,1
2,2,1,0,0,8
2,2,0,NaN,1,0
2,2,0,NaN,0,1
2,2,0,1,1,33
2,2,0,NaN,0,1
2,2,0,NaN,1,0
2,2,0,NaN,0,1
2,2,0,NaN,1,0
2,2,0,NaN,0,1
2,2,0,NaN,1,0
2,2,0,1,0,8
2,2,1,0,1,26
2,2,0,NaN,1,0
2,2,0,1,0,14
2,2,0,NaN,0,1
2,2,0,NaN,0,1
2,2,1,0,0,15
2,2,1,0,0,12
2,2,1,1,0,35
2,2,0,NaN,0,1
2,2,0,NaN,0,1
3,1,0,NaN,0,1
3,1,0,NaN,0,1
3,1,0,1,1,21
3,1,0,NaN,0,1
3,1,0,1,0,7
3,1,0,NaN,0,1
3,1,1,0,0,6
3,1,1,0,1,34
3,1,1,0,0,17
3,1,0,NaN,0,1
3,1,0,NaN,0,1
3,1,0,1,0,17
3,1,0,NaN,0,1
3,1,0,NaN,1,0
3,1,0,NaN,1,0
3,1,0,NaN,0,1
3,1,0,NaN,0,1
3,1,0,NaN,1,0
3,1,0,NaN,0,1
3,1,0,1,1,43
3,1,0,1,0,8
3,1,0,NaN,1,0
3,1,0,NaN,0,1
3,1,0,1,1,19
3,1,0,1,0,9
3,1,1,0,0,11
3,1,0,NaN,0,1
3,1,0,NaN,0,1
3,1,0,NaN,0,1
3,1,0,NaN,0,1
3,1,1,0,1,64
3,1,0,1,0,28
3,1,0,1,0,23
3,1,0,NaN,0,1
3,1,0,1,0,29
3,1,1,0,0,17
3,1,0,NaN,0,1
3,1,0,1,0,15
3,1,0,NaN,0,1
3,1,1,0,1,76
3,1,1,1,0,70
3,1,0,NaN,0,1
3,1,0,1,0,29
3,1,0,1,0,8
3,1,1,0,0,15
3,1,0,NaN,0,1
3,1,1,0,1,21
3,2,0,NaN,0,1
