time_stamp,domain,video,rater
1,8,1,1
1,12,1,1
1,15,1,1
1,20,1,1
1,32,1,1
1,33,1,1
1,36,1,1
1,45,1,1
1,46,1,1
1,74,1,1
1,75,1,1
1,90,1,1
1,95,1,1
1,107,1,1
1,113,1,1
1,114,1,1
1,116,1,1
1,132,1,1
2,15,1,1
2,32,1,1
2,74,1,1
2,75,1,1
2,82,1,1
2,95,1,1
2,113,1,1
2,114,1,1
2,116,1,1
3,32,1,1
3,33,1,1
3,45,1,1
3,46,1,1
3,76,1,1
3,87,1,1
3,90,1,1
3,95,1,1
3,114,1,1
3,116,1,1
3,121,1,1
3,166,1,1
4,15,1,1
4,20,1,1
4,32,1,1
4,45,1,1
4,46,1,1
4,85,1,1
4,87,1,1
4,94,1,1
4,96,1,1
4,113,1,1
4,114,1,1
4,121,1,1
4,171,1,1
5,20,1,1
5,32,1,1
5,33,1,1
5,34,1,1
5,45,1,1
5,46,1,1
5,90,1,1
5,93,1,1
5,94,1,1
5,95,1,1
5,96,1,1
5,114,1,1
5,147,1,1
5,148,1,1
5,149,1,1
5,164,1,1
5,170,1,1
5,173,1,1
6,20,1,1
6,32,1,1
6,33,1,1
6,34,1,1
6,74,1,1
6,75,1,1
6,76,1,1
6,90,1,1
6,113,1,1
6,114,1,1
6,116,1,1
6,148,1,1
6,149,1,1
7,32,1,1
7,33,1,1
7,34,1,1
7,35,1,1
7,36,1,1
7,74,1,1
7,75,1,1
7,76,1,1
7,90,1,1
7,113,1,1
7,114,1,1
7,116,1,1
7,148,1,1
7,149,1,1
7,173,1,1
8,32,1,1
8,33,1,1
8,34,1,1
8,35,1,1
8,74,1,1
8,75,1,1
8,76,1,1
8,79,1,1
8,82,1,1
8,90,1,1
8,94,1,1
8,113,1,1
8,114,1,1
8,116,1,1
8,148,1,1
8,149,1,1
8,173,1,1
9,32,1,1
9,33,1,1
9,34,1,1
9,35,1,1
9,36,1,1
9,74,1,1
9,76,1,1
9,78,1,1
9,79,1,1
9,82,1,1
9,90,1,1
9,113,1,1
9,114,1,1
9,116,1,1
9,148,1,1
9,149,1,1
9,173,1,1
10,15,1,1
10,32,1,1
10,74,1,1
10,78,1,1
10,113,1,1
10,114,1,1
10,116,1,1
10,148,1,1
10,149,1,1
11,15,1,1
11,32,1,1
11,35,1,1
11,74,1,1
11,78,1,1
11,79,1,1
11,90,1,1
11,113,1,1
11,114,1,1
11,116,1,1
11,148,1,1
11,149,1,1
12,78,1,1
12,79,1,1
12,80,1,1
12,82,1,1
12,114,1,1
12,116,1,1
12,172,1,1
12,173,1,1
13,8,1,1
13,33,1,1
13,75,1,1
13,111,1,1
13,113,1,1
13,116,1,1
14,8,1,1
14,33,1,1
14,36,1,1
14,74,1,1
14,75,1,1
14,112,1,1
14,116,1,1
15,8,1,1
15,15,1,1
15,36,1,1
15,75,1,1
15,90,1,1
15,107,1,1
16,8,1,1
16,33,1,1
16,75,1,1
16,90,1,1
16,107,1,1
17,8,1,1
17,33,1,1
17,74,1,1
17,75,1,1
17,90,1,1
17,113,1,1
17,148,1,1
18,8,1,1
18,33,1,1
18,75,1,1
18,90,1,1
18,113,1,1
18,148,1,1
19,8,1,1
19,33,1,1
19,76,1,1
19,90,1,1
20,32,1,1
20,35,1,1
20,36,1,1
20,74,1,1
20,79,1,1
20,82,1,1
20,113,1,1
21,8,1,1
21,32,1,1
21,33,1,1
21,34,1,1
21,35,1,1
21,74,1,1
21,75,1,1
21,90,1,1
21,113,1,1
21,116,1,1
21,173,1,1
22,8,1,1
22,32,1,1
22,33,1,1
22,34,1,1
22,35,1,1
22,74,1,1
22,75,1,1
22,90,1,1
22,148,1,1
22,153,1,1
22,173,1,1
23,8,1,1
23,32,1,1
23,33,1,1
23,37,1,1
23,74,1,1
23,75,1,1
23,90,1,1
23,107,1,1
23,116,1,1
24,8,1,1
24,32,1,1
24,33,1,1
24,34,1,1
24,35,1,1
24,74,1,1
24,75,1,1
24,80,1,1
24,81,1,1
24,90,1,1
24,172,1,1
24,173,1,1
25,8,1,1
25,32,1,1
25,33,1,1
25,34,1,1
25,35,1,1
25,75,1,1
25,79,1,1
25,80,1,1
25,81,1,1
25,90,1,1
25,133,1,1
26,8,1,1
26,32,1,1
26,33,1,1
26,34,1,1
26,35,1,1
26,74,1,1
26,75,1,1
26,79,1,1
26,90,1,1
26,113,1,1
26,116,1,1
26,133,1,1
26,173,1,1
27,8,1,1
27,32,1,1
27,33,1,1
27,34,1,1
27,74,1,1
27,75,1,1
27,76,1,1
27,79,1,1
27,80,1,1
27,81,1,1
27,90,1,1
27,133,1,1
27,173,1,1
28,32,1,1
28,36,1,1
28,74,1,1
28,75,1,1
28,79,1,1
28,80,1,1
28,81,1,1
28,90,1,1
28,113,1,1
28,133,1,1
28,173,1,1
29,8,1,1
29,32,1,1
29,36,1,1
29,74,1,1
29,76,1,1
29,77,1,1
29,79,1,1
29,80,1,1
29,81,1,1
29,90,1,1
29,113,1,1
29,116,1,1
29,132,1,1
29,173,1,1
30,32,1,1
30,35,1,1
30,74,1,1
30,75,1,1
30,76,1,1
30,79,1,1
30,80,1,1
30,81,1,1
30,90,1,1
30,135,1,1
31,8,1,1
31,32,1,1
31,33,1,1
31,34,1,1
31,74,1,1
31,75,1,1
31,76,1,1
31,90,1,1
31,173,1,1
32,32,1,1
32,33,1,1
32,34,1,1
32,76,1,1
32,90,1,1
32,121,1,1
33,32,1,1
33,33,1,1
33,34,1,1
33,35,1,1
33,74,1,1
33,75,1,1
33,76,1,1
33,79,1,1
33,80,1,1
33,81,1,1
33,90,1,1
33,113,1,1
33,116,1,1
33,133,1,1
33,135,1,1
34,15,1,1
34,32,1,1
34,35,1,1
34,45,1,1
34,46,1,1
34,82,1,1
34,95,1,1
34,96,1,1
34,113,1,1
34,116,1,1
34,133,1,1
34,135,1,1
34,173,1,1
35,15,1,1
35,32,1,1
35,33,1,1
35,34,1,1
35,35,1,1
35,74,1,1
35,75,1,1
35,78,1,1
35,79,1,1
35,80,1,1
35,90,1,1
35,113,1,1
35,114,1,1
35,116,1,1
35,132,1,1
35,173,1,1
36,15,1,1
36,32,1,1
36,35,1,1
36,78,1,1
36,79,1,1
36,80,1,1
36,95,1,1
36,113,1,1
36,114,1,1
36,116,1,1
36,133,1,1
1,9,2,1
1,17,2,1
1,18,2,1
1,45,2,1
1,46,2,1
1,78,2,1
1,85,2,1
1,95,2,1
1,121,2,1
1,171,2,1
2,9,2,1
2,32,2,1
2,33,2,1
2,34,2,1
2,45,2,1
2,46,2,1
2,74,2,1
2,75,2,1
2,76,2,1
2,85,2,1
2,95,2,1
2,121,2,1
2,171,2,1
3,33,2,1
3,36,2,1
3,74,2,1
3,75,2,1
3,76,2,1
3,95,2,1
3,104,2,1
3,105,2,1
3,107,2,1
3,113,2,1
3,114,2,1
3,170,2,1
4,45,2,1
4,46,2,1
4,90,2,1
4,91,2,1
4,95,2,1
4,114,2,1
4,121,2,1
4,142,2,1
4,170,2,1
5,32,2,1
5,33,2,1
5,35,2,1
5,36,2,1
5,45,2,1
5,46,2,1
5,90,2,1
5,95,2,1
5,104,2,1
5,105,2,1
5,107,2,1
5,113,2,1
5,114,2,1
5,173,2,1
6,32,2,1
6,33,2,1
6,34,2,1
6,35,2,1
6,45,2,1
6,46,2,1
6,74,2,1
6,75,2,1
6,92,2,1
6,95,2,1
6,104,2,1
6,113,2,1
6,114,2,1
6,173,2,1
7,32,2,1
7,45,2,1
7,46,2,1
7,92,2,1
7,94,2,1
7,95,2,1
7,113,2,1
7,114,2,1
7,121,2,1
7,171,2,1
8,32,2,1
8,45,2,1
8,46,2,1
8,90,2,1
8,92,2,1
8,94,2,1
8,95,2,1
8,113,2,1
8,114,2,1
8,121,2,1
8,171,2,1
9,26,2,1
9,32,2,1
9,45,2,1
9,92,2,1
9,95,2,1
9,113,2,1
9,121,2,1
9,133,2,1
9,169,2,1
9,171,2,1
10,26,2,1
10,87,2,1
10,92,2,1
10,95,2,1
10,113,2,1
10,121,2,1
10,133,2,1
10,169,2,1
11,32,2,1
11,36,2,1
11,76,2,1
11,87,2,1
11,90,2,1
11,95,2,1
11,107,2,1
11,133,2,1
11,164,2,1
11,179,2,1
12,24,2,1
12,32,2,1
12,45,2,1
12,46,2,1
12,76,2,1
12,90,2,1
12,95,2,1
12,113,2,1
12,133,2,1
12,179,2,1
13,24,2,1
13,25,2,1
13,27,2,1
13,32,2,1
13,87,2,1
13,95,2,1
13,121,2,1
13,169,2,1
14,24,2,1
14,25,2,1
14,27,2,1
14,32,2,1
14,45,2,1
14,46,2,1
14,76,2,1
14,87,2,1
14,94,2,1
14,95,2,1
14,121,2,1
14,141,2,1
14,177,2,1
15,32,2,1
15,35,2,1
15,76,2,1
15,78,2,1
15,79,2,1
15,90,2,1
15,95,2,1
15,141,2,1
15,177,2,1
16,32,2,1
16,45,2,1
16,46,2,1
16,74,2,1
16,75,2,1
16,76,2,1
16,77,2,1
16,78,2,1
16,79,2,1
16,90,2,1
16,95,2,1
16,113,2,1
16,116,2,1
16,133,2,1
17,45,2,1
17,46,2,1
17,75,2,1
17,95,2,1
17,113,2,1
17,116,2,1
17,133,2,1
18,24,2,1
18,25,2,1
18,26,2,1
18,27,2,1
18,45,2,1
18,46,2,1
18,76,2,1
18,87,2,1
18,94,2,1
18,95,2,1
18,113,2,1
18,121,2,1
18,169,2,1
18,182,2,1
19,24,2,1
19,26,2,1
19,27,2,1
19,45,2,1
19,46,2,1
19,77,2,1
19,87,2,1
19,94,2,1
19,95,2,1
19,121,2,1
19,141,2,1
19,171,2,1
20,24,2,1
20,45,2,1
20,46,2,1
20,76,2,1
20,87,2,1
20,92,2,1
20,95,2,1
20,113,2,1
20,121,2,1
20,133,2,1
20,169,2,1
21,35,2,1
21,45,2,1
21,46,2,1
21,78,2,1
21,94,2,1
21,95,2,1
21,121,2,1
21,171,2,1
22,24,2,1
22,25,2,1
22,26,2,1
22,32,2,1
22,45,2,1
22,46,2,1
22,76,2,1
22,94,2,1
22,95,2,1
22,113,2,1
22,121,2,1
22,171,2,1
23,32,2,1
23,35,2,1
23,45,2,1
23,46,2,1
23,76,2,1
23,85,2,1
23,95,2,1
23,113,2,1
23,121,2,1
23,171,2,1
24,32,2,1
24,35,2,1
24,85,2,1
24,95,2,1
24,113,2,1
25,9,2,1
25,32,2,1
25,33,2,1
25,34,2,1
25,35,2,1
25,74,2,1
25,75,2,1
25,76,2,1
25,95,2,1
25,107,2,1
25,113,2,1
25,114,2,1
25,133,2,1
25,179,2,1
26,32,2,1
26,33,2,1
26,34,2,1
26,35,2,1
26,45,2,1
26,46,2,1
26,74,2,1
26,76,2,1
26,87,2,1
26,94,2,1
26,95,2,1
26,113,2,1
26,114,2,1
26,121,2,1
26,133,2,1
26,148,2,1
26,173,2,1
27,32,2,1
27,33,2,1
27,34,2,1
27,35,2,1
27,74,2,1
27,75,2,1
27,76,2,1
27,87,2,1
27,94,2,1
27,95,2,1
27,107,2,1
27,113,2,1
27,114,2,1
27,121,2,1
27,133,2,1
28,32,2,1
28,45,2,1
28,46,2,1
28,74,2,1
28,76,2,1
28,94,2,1
28,95,2,1
28,113,2,1
28,114,2,1
28,121,2,1
28,171,2,1
29,32,2,1
29,45,2,1
29,46,2,1
29,94,2,1
29,95,2,1
29,121,2,1
29,171,2,1
30,32,2,1
30,35,2,1
30,45,2,1
30,46,2,1
30,76,2,1
30,94,2,1
30,121,2,1
31,32,2,1
31,34,2,1
31,35,2,1
31,74,2,1
31,76,2,1
31,113,2,1
31,114,2,1
31,133,2,1
32,82,2,1
1,32,3,1
1,35,3,1
1,82,3,1
1,113,3,1
2,17,3,1
2,46,3,1
2,78,3,1
2,82,3,1
2,90,3,1
2,121,3,1
3,32,3,1
3,33,3,1
3,35,3,1
3,75,3,1
3,82,3,1
3,94,3,1
3,113,3,1
3,121,3,1
3,171,3,1
3,173,3,1
3,182,3,1
4,32,3,1
4,33,3,1
4,34,3,1
4,35,3,1
4,74,3,1
4,78,3,1
4,79,3,1
4,80,3,1
4,81,3,1
4,82,3,1
4,94,3,1
4,121,3,1
4,171,3,1
5,82,3,1
5,90,3,1
5,94,3,1
5,121,3,1
5,170,3,1
6,82,3,1
6,90,3,1
6,94,3,1
6,121,3,1
6,173,3,1
7,32,3,1
7,35,3,1
7,82,3,1
7,113,3,1
7,173,3,1
8,32,3,1
8,35,3,1
8,82,3,1
8,113,3,1
8,173,3,1
9,9,3,1
9,32,3,1
9,35,3,1
9,45,3,1
9,46,3,1
9,82,3,1
9,90,3,1
9,173,3,1
10,32,3,1
10,35,3,1
10,45,3,1
10,46,3,1
10,82,3,1
10,90,3,1
10,94,3,1
10,113,3,1
10,121,3,1
10,173,3,1
11,32,3,1
11,36,3,1
11,82,3,1
11,90,3,1
11,113,3,1
11,173,3,1
12,82,3,1
13,32,3,1
13,35,3,1
13,82,3,1
13,114,3,1
14,78,3,1
14,79,3,1
14,80,3,1
14,81,3,1
14,82,3,1
15,32,3,1
15,35,3,1
15,82,3,1
16,32,3,1
16,35,3,1
16,82,3,1
17,26,3,1
17,32,3,1
17,35,3,1
17,82,3,1
17,90,3,1
17,94,3,1
17,113,3,1
17,147,3,1
18,26,3,1
18,78,3,1
18,80,3,1
18,90,3,1
18,94,3,1
18,147,3,1
18,170,3,1
19,32,3,1
19,35,3,1
19,90,3,1
19,94,3,1
19,113,3,1
20,17,3,1
20,45,3,1
20,46,3,1
20,78,3,1
20,90,3,1
20,94,3,1
21,21,3,1
21,70,3,1
21,17,3,1
21,45,3,1
21,46,3,1
22,17,3,1
22,45,3,1
22,46,3,1
22,90,3,1
22,94,3,1
22,121,3,1
23,32,3,1
23,35,3,1
23,45,3,1
23,46,3,1
23,75,3,1
23,90,3,1
23,113,3,1
23,174,3,1
24,32,3,1
24,35,3,1
24,75,3,1
24,76,3,1
24,78,3,1
24,79,3,1
24,80,3,1
24,90,3,1
25,32,3,1
25,35,3,1
25,75,3,1
25,76,3,1
25,78,3,1
25,79,3,1
25,80,3,1
25,81,3,1
25,113,3,1
26,32,3,1
26,35,3,1
26,45,3,1
26,46,3,1
26,75,3,1
26,76,3,1
26,78,3,1
26,79,3,1
26,80,3,1
26,81,3,1
26,90,3,1
26,94,3,1
26,113,3,1
27,45,3,1
27,46,3,1
27,147,3,1
28,33,3,1
28,45,3,1
28,46,3,1
28,147,3,1
29,32,3,1
29,33,3,1
29,45,3,1
29,46,3,1
29,90,3,1
29,174,3,1
30,32,3,1
30,33,3,1
30,90,3,1
30,113,3,1
30,174,3,1
32,32,3,1
32,35,3,1
32,113,3,1
33,32,3,1
33,35,3,1
33,79,3,1
33,80,3,1
33,81,3,1
33,113,3,1
34,32,3,1
34,35,3,1
34,94,3,1
34,113,3,1
34,121,3,1
34,171,3,1
34,174,3,1
35,32,3,1
35,35,3,1
35,45,3,1
35,46,3,1
35,94,3,1
35,113,3,1
35,121,3,1
35,171,3,1
35,174,3,1
1,32,4,1
1,35,4,1
1,76,4,1
1,78,4,1
1,79,4,1
1,80,4,1
1,82,4,1
1,113,4,1
1,173,4,1
2,32,4,1
2,35,4,1
2,76,4,1
2,78,4,1
2,79,4,1
2,80,4,1
2,82,4,1
2,113,4,1
2,173,4,1
3,32,4,1
3,35,4,1
3,82,4,1
3,113,4,1
3,173,4,1
4,32,4,1
4,35,4,1
4,78,4,1
4,79,4,1
4,80,4,1
4,82,4,1
4,113,4,1
4,173,4,1
5,45,4,1
5,46,4,1
5,121,4,1
5,177,4,1
6,45,4,1
6,46,4,1
6,85,4,1
6,94,4,1
6,121,4,1
6,177,4,1
7,45,4,1
7,46,4,1
7,94,4,1
7,121,4,1
8,45,4,1
8,46,4,1
8,94,4,1
8,121,4,1
9,32,4,1
9,35,4,1
9,76,4,1
9,78,4,1
9,79,4,1
9,80,4,1
9,113,4,1
10,32,4,1
10,35,4,1
10,45,4,1
10,46,4,1
10,76,4,1
10,78,4,1
10,79,4,1
10,80,4,1
10,94,4,1
10,113,4,1
10,121,4,1
11,32,4,1
11,35,4,1
11,45,4,1
11,46,4,1
11,74,4,1
11,76,4,1
11,78,4,1
11,79,4,1
11,80,4,1
11,81,4,1
11,90,4,1
11,94,4,1
12,32,4,1
12,35,4,1
12,45,4,1
12,46,4,1
12,74,4,1
12,76,4,1
12,78,4,1
12,79,4,1
12,80,4,1
12,81,4,1
12,90,4,1
12,94,4,1
12,113,4,1
12,121,4,1
13,32,4,1
13,35,4,1
13,45,4,1
13,46,4,1
13,78,4,1
13,79,4,1
13,80,4,1
13,81,4,1
13,87,4,1
13,94,4,1
13,113,4,1
13,121,4,1
13,169,4,1
